c_fips,county,state,total,per_capita
34001,Atlantic,NJ,3,1.11E-05
34003,Bergen,MI,1,1.08E-06
34003,Bergen,MO,1,1.08E-06
34003,Bergen,NJ,6,6.48E-06
34005,Burlington,NJ,6,1.34E-05
34007,Camden,NJ,5,9.85E-06
34033,Salem,NJ,1,1.57E-05
34035,Somerset,NJ,3,9.10E-06
34037,Sussex,NJ,2,1.40E-05
34039,Union,NJ,6,1.09E-05
34041,Warren,NJ,6,5.62E-05
35001,Bernalillo,NM,14,2.07E-05
35009,Curry,NM,1,1.99E-05
35013,Dona Ana,NM,3,1.40E-05
35025,Lea,NM,1,1.40E-05
35029,Luna,NM,1,4.10E-05
35031,McKinley,NM,1,1.36E-05
35039,Rio Arriba,NM,1,2.54E-05
35043,Sandoval,NM,5,3.61E-05
35049,Santa Fe,NM,5,3.38E-05
36001,Albany,NY,5,1.63E-05
36003,Allegany,NY,1,2.11E-05
36005,Bronx,NY,2,1.39E-06
36007,Broome,NY,3,1.53E-05
36013,Chautauqua,NY,1,7.66E-06
36015,Chemung,NY,1,1.15E-05
36021,Columbia,NY,1,1.63E-05
36025,Delaware,NY,2,4.36E-05
36027,Dutchess,NY,1,3.40E-06
36029,Erie,NY,4,4.34E-06
36037,Genesee,NY,1,1.71E-05
36043,Herkimer,NY,1,1.60E-05
36047,Kings,NY,14,5.37E-06
36053,Madison,NY,1,1.40E-05
36055,Monroe,NY,1,1.34E-06
36059,Nassau,NY,11,8.12E-06
36093,Schenectady,NY,3,1.94E-05
36097,Schuyler,NY,1,5.55E-05
36101,Steuben,NY,3,3.08E-05
36103,Suffolk,NY,5,3.35E-06
36105,Sullivan,NY,2,2.67E-05
36109,Tompkins,NY,2,1.94E-05
36111,Ulster,NY,1,5.57E-06
36119,Westchester,NY,5,5.16E-06
37001,Alamance,NC,2,1.27E-05
37019,Brunswick,NC,1,8.18E-06
37021,Buncombe,NC,3,1.19E-05
37025,Cabarrus,NC,5,2.55E-05
37039,Cherokee,NC,1,3.69E-05
37049,Craven,NC,1,9.72E-06
37051,Cumberland,NC,2,6.04E-06
37057,Davidson,NC,2,1.22E-05
37061,Duplin,NC,1,1.70E-05
37063,Durham,NC,3,9.97E-06
37067,Forsyth,NC,3,8.17E-06
37069,Franklin,NC,1,1.57E-05
37071,Gaston,NC,1,4.70E-06
37077,Granville,NC,2,3.44E-05
37081,Guilford,NC,5,9.67E-06
37085,Harnett,NC,1,7.81E-06
37107,Lenoir,NC,1,1.72E-05
37181,Vance,NC,1,2.25E-05
37183,Wake,NC,14,1.37E-05
37189,Watauga,NC,2,3.77E-05
37191,Wayne,NC,2,1.61E-05
37195,Wilson,NC,1,1.23E-05
38017,Cass,ND,3,1.76E-05
39001,Adams,OH,2,7.16E-05
39007,Ashtabula,OH,3,3.05E-05
39009,Athens,OH,2,3.04E-05
39015,Brown,OH,1,2.29E-05
39017,Butler,OH,5,1.33E-05
39093,Lorain,OH,5,1.64E-05
39099,Mahoning,OH,7,3.02E-05
39103,Medina,OH,1,5.68E-06
39105,Meigs,OH,1,4.31E-05
39111,Monroe,OH,1,7.02E-05
39113,Montgomery,OH,2,3.76E-06
39119,Muskingum,OH,1,1.16E-05
39123,Ottawa,OH,1,2.45E-05
39133,Portage,OH,1,6.15E-06
39147,Seneca,OH,1,1.80E-05
39151,Stark,OH,4,1.07E-05
39153,Summit,OH,11,2.03E-05
39155,Trumbull,OH,1,4.92E-06
39159,Union,OH,2,3.68E-05
39165,Warren,OH,5,2.23E-05
39167,Washington,OH,1,1.64E-05
40015,Caddo,OK,1,3.40E-05
40017,Canadian,OK,1,7.51E-06
40019,Carter,OK,1,2.06E-05
40021,Cherokee,OK,2,4.13E-05
40027,Cleveland,OK,5,1.83E-05
40031,Comanche,OK,2,1.61E-05
40051,Grady,OK,1,1.83E-05
40097,Mayes,OK,1,2.45E-05
40109,Oklahoma,OK,4,5.15E-06
40113,Osage,OK,2,4.22E-05
40119,Payne,OK,4,4.92E-05
40135,Sequoyah,OK,1,2.39E-05
40147,Washington,OK,1,1.92E-05
41005,Clackamas,OR,5,1.25E-05
41017,Deschutes,OR,3,1.72E-05
41029,Jackson,OR,3,1.42E-05
41033,Josephine,OR,5,5.92E-05
41039,Lane,OR,5,1.38E-05
41041,Lincoln,TX,1,2.13E-05
41043,Linn,OR,2,1.66E-05
41047,Marion,OR,5,1.52E-05
41051,Multnomah,OR,25,3.16E-05
41067,Washington,AL,1,1.75E-06
41067,Washington,OR,22,3.84E-05
41071,Yamhill,OR,2,1.97E-05
42001,Adams,PA,3,2.95E-05
42003,Allegheny,PA,13,1.06E-05
42007,Beaver,PA,1,5.94E-06
42011,Berks,PA,6,1.45E-05
42015,Bradford,PA,1,1.62E-05
42017,Bucks,PA,4,6.40E-06
42019,Butler,PA,3,1.61E-05
42027,Centre,PA,1,6.23E-06
42029,Chester,PA,7,1.36E-05
42031,Clarion,PA,2,5.14E-05
42033,Clearfield,PA,2,2.48E-05
42035,Clinton,PA,1,2.54E-05
42037,Columbia,PA,2,3.00E-05
42039,Crawford,PA,2,2.31E-05
42041,Cumberland,PA,3,1.22E-05
42043,Dauphin,PA,4,1.46E-05
42045,Delaware,PA,7,1.24E-05
42049,Erie,PA,3,1.08E-05
42101,Philadelphia,AL,1,6.37E-07
42111,Somerset,FL,1,1.33E-05
44003,Kent,RI,1,6.11E-06
44007,Providence,RI,2,3.16E-06
44009,Washington,RI,1,7.92E-06
45003,Aiken,SC,6,3.62E-05
45011,Barnwell,SC,1,4.59E-05
45013,Beaufort,SC,2,1.11E-05
45015,Berkeley,SC,10,4.92E-05
45019,Charleston,SC,26,6.68E-05
45035,Dorchester,SC,4,2.62E-05
45041,Florence,SC,1,7.21E-06
45045,Greenville,SC,4,8.15E-06
46035,Davison,SD,2,0.0001004217714
46099,Minnehaha,SD,1,5.45E-06
47001,Anderson,TN,5,6.63E-05
47011,Bradley,TN,2,1.93E-05
47013,Campbell,TN,1,2.51E-05
47019,Carter,TN,1,1.77E-05
47021,Cheatham,TN,1,2.53E-05
47023,Chester,TN,1,5.84E-05
47029,Cocke,TN,1,2.85E-05
47035,Cumberland,TN,1,1.72E-05
47037,Davidson,TN,47,6.91E-05
47047,Fayette,TN,2,5.09E-05
47055,Giles,TN,1,3.45E-05
47059,Greene,TN,9,0.0001312221153
47063,Hamblen,TN,2,3.16E-05
47125,Montgomery,KY,2,1.04E-05
47183,Weakley,TN,1,2.95E-05
47187,Williamson,TN,20,9.45E-05
47189,Wilson,TN,6,4.67E-05
48001,Anderson,TX,1,1.73E-05
48005,Angelina,TX,1,1.14E-05
48021,Bastrop,TX,5,6.24E-05
48023,Baylor,TX,1,0.0002770850651
48025,Bee,TX,1,3.07E-05
48027,Bell,TX,6,1.79E-05
48029,Bexar,TX,16,8.44E-06
48031,Blanco,TX,1,9.07E-05
48035,Bosque,TX,2,0.0001119570085
48037,Bowie,TX,1,1.07E-05
48039,Brazoria,TX,2,5.79E-06
48041,Brazos,TX,8,3.70E-05
48051,Burleson,TX,1,5.68E-05
48055,Caldwell,TX,1,2.47E-05
48071,Chambers,TX,1,2.56E-05
48073,Cherokee,TX,1,1.94E-05
48081,Coke,TX,1,0.0003098853424
48085,Collin,TX,10,1.09E-05
48089,Colorado,TX,2,9.55E-05
48091,Comal,TX,2,1.55E-05
49011,Davis,UT,1,2.99E-06
49019,Grand,UT,1,0.0001047010784
49021,Iron,UT,1,2.08E-05
49053,Washington,UT,1,6.47E-06
49057,Weber,UT,4,1.65E-05
50001,Addison,VT,1,2.71E-05
50007,Chittenden,VT,2,1.24E-05
50019,Orleans,VT,1,3.70E-05
50021,Rutland,VT,1,1.68E-05
50025,Windham,VT,2,4.62E-05
51003,Albemarle,VA,4,3.81E-05
51005,Alleghany,VA,1,6.48E-05
51007,Amelia,VA,2,0.0001564455569
51011,Appomattox,VA,1,6.45E-05
51013,Arlington,VA,6,2.63E-05
51143,Pittsylvania,VA,2,3.23E-05
51153,Prince William,VA,6,1.33E-05
51169,Scott,VA,1,4.49E-05
51173,Smyth,VA,2,6.37E-05
51177,Spotsylvania,VA,1,7.70E-06
51750,Radford City,VA,2,0.0001156403585
51760,Richmond City,VA,1,4.53E-06
51790,Staunton City,VA,1,4.13E-05
51800,Suffolk City,VA,1,1.14E-05
51810,Virginia Beach City,VA,3,6.66E-06
53003,Asotin,WA,1,4.52E-05
53007,Chelan,WA,1,1.33E-05
53009,Clallam,WA,1,1.37E-05
53011,Clark,WA,11,2.41E-05
53027,Grays Harbor,WA,1,1.41E-05
53029,Island,WA,3,3.75E-05
53031,Jefferson,WA,1,3.30E-05
53033,King,WA,83,3.90E-05
53035,Kitsap,WA,10,3.86E-05
53037,Kittitas,WA,1,2.32E-05
53039,Klickitat,WA,2,9.52E-05
53041,Lewis,WA,4,5.30E-05
53045,Mason,WA,1,1.64E-05
53053,Pierce,WA,14,1.66E-05
53055,San Juan,WA,1,6.17E-05
53057,Skagit,WA,2,1.65E-05
53061,Snohomish,CA,1,1.30E-06
53061,Snohomish,WA,22,2.86E-05
53063,Spokane,WA,6,1.23E-05
53065,Stevens,WA,1,2.30E-05
53067,Thurston,WA,7,2.61E-05
53071,Walla Walla,WA,3,5.01E-05
53073,Whatcom,WA,4,1.89E-05
53075,Whitman,WA,1,2.08E-05
53077,Yakima,WA,3,1.21E-05
54011,Cabell,WV,1,1.04E-05
54017,Doddridge,WV,1,0.000114902907
54027,Hampshire,WV,5,0.0002144910128
54029,Hancock,WV,2,6.67E-05
55009,Brown,WI,4,1.55E-05
55015,Calumet,FL,1,2.01E-05
55015,Calumet,WI,1,2.01E-05
55017,Chippewa,WI,1,1.58E-05
55045,Green,WI,1,2.71E-05
55055,Jefferson,WI,1,1.18E-05
55059,Kenosha,WI,2,1.19E-05
55063,La Crosse,WI,1,8.50E-06
55067,Langlade,WI,1,5.25E-05
56005,Campbell,WY,1,2.03E-05
56039,Teton,WY,1,4.34E-05
