,alcoholic,drink,glass,ingredients,ingredients_and_quantities,instructions
305,Alcoholic,Port Wine Flip,Whiskey sour glass,"Nutmeg, Egg, Powdered sugar, Light cream, Port, ","Nutmeg, Egg - 1 whole , Powdered sugar - 1 tsp , Light cream - 2 tsp , Port - 1 1/2 oz , ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
306,Alcoholic,Planter's Punch,Collins glass,"Pineapple juice, Orange juice, Orgeat syrup, Dark rum, ","Pineapple juice - 1 part , Orange juice - 2 parts , Orgeat syrup - 1/2 part , Dark rum - 1 part , ","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple."
307,Alcoholic,Pineapple Paloma,Collins glass,"Pepper, Lime, Pineapple Juice, Fresh Lime Juice, Grapefruit Juice, Tequila, ","Pepper - Rimmed, Lime - Garnish with, Pineapple Juice - 8 oz, Fresh Lime Juice - 1 oz, Grapefruit Juice - 4 oz, Tequila - 4 oz, ","Rub the rim of each glass with lime slice and dip into salt.

Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.

Give it a quick stir.

Garnish with fresh pineapple or lime."
308,Alcoholic,Pornstar Martini,Cocktail glass,"Prosecco, Lime, Passion fruit juice, Passoa, Vodka, ","Prosecco - 1 shot, Lime - 1 cl, Passion fruit juice - 1 cl, Passoa - 3 cl, Vodka - 3 cl, ",Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
309,Alcoholic,Planter�s Punch,Highball glass,"Angostura Bitters, Sugar Syrup, Grenadine, Pineapple Juice, Orange Juice, Dark Rum, ","Angostura Bitters - 4 drops, Sugar Syrup - 1 cl, Grenadine - 1 cl, Pineapple Juice - 3.5 cl, Orange Juice - 3 cl, Dark Rum - 4.5 cL, ",Squeeze an orange and strain the juice. Put all the ingredients in a shaker filled with ice and shake for at least 12 seconds. Strain into a highball glass and decorate with a pineapple wedge or fruit of your choice.
310,Alcoholic,Port And Starboard,Pousse cafe glass,"Green Creme de Menthe, Grenadine, ","Green Creme de Menthe - 1/2 oz , Grenadine - 1 tblsp , ","Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing."
311,Alcoholic,Port Wine Cocktail,Cocktail glass,"Brandy, Port, ","Brandy - 1/2 tsp , Port - 2 1/2 oz , ","Stir ingredients with ice, strain into a cocktail glass, and serve."
312,Non alcoholic,Pysch Vitamin Light,Collins Glass,"Ice, Pineapple juice, Apple juice, Orange juice, ","Ice, Pineapple juice - 1 part , Apple juice - 1 part , Orange juice - 1 part , ",Shake with ice.
313,Alcoholic,Pink Panty Pulldowns,Collins Glass,"Vodka, Pink lemonade, Sprite, ","Vodka - 2 cups , Pink lemonade - 2 cups , Sprite - 1 L , ",Shake well
314,Alcoholic,Passion Fruit Martini,Cocktail glass,"Passion fruit juice, Sugar Syrup, Vodka, ","Passion fruit juice - Full Glass, Sugar Syrup - 1/2 shot, Vodka - 1 shot, ",Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
315,Non alcoholic,Pineapple Gingerale Smoothie,Highball Glass,"Pineapple, Ginger, ","Pineapple - 1/2 , Ginger - 1/4 inch , ",Throw everything into a blender and liquify.
316,Alcoholic,Quentin,Cocktail glass,"Nutmeg, Light cream, Kahlua, Dark rum, ","Nutmeg - 1/8 tsp grated , Light cream - 1 oz , Kahlua - 1/2 oz , Dark rum - 1 1/2 oz , ","In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg."
317,Alcoholic,Queen Bee,Cocktail glass,"Sherry, Lime vodka, Coffee brandy, ","Sherry - 1/2 oz cream , Lime vodka - 1 1/2 oz , Coffee brandy - 1 oz , ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
318,Alcoholic,Quick F**K,Shot glass,"Baileys irish cream, Midori melon liqueur, Kahlua, ","Baileys irish cream - 1 part , Midori melon liqueur - 1 part , Kahlua - 1 part , ","In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream"
319,Alcoholic,Quick-sand,Highball glass,"Orange juice, Black Sambuca, ","Orange juice - Add 250 ml , Black Sambuca - 25 ml , ","Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!"
320,Alcoholic,Queen Charlotte,Collins glass,"Lemon-lime soda, Grenadine, Red wine, ","Lemon-lime soda, Grenadine - 1 oz , Red wine - 2 oz , ","Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve."
321,Alcoholic,Queen Elizabeth,Cocktail glass,"Benedictine, Gin, Dry Vermouth, ","Benedictine - 1 1/2 tsp , Gin - 1 1/2 oz , Dry Vermouth - 1/2 oz , ","Stir all ingredients with ice, strain into a cocktail glass, and serve."
322,Alcoholic,Quaker's Cocktail,Cocktail glass,"Raspberry syrup, Lemon, Brandy, Light rum, ","Raspberry syrup - 2 tsp , Lemon - Juice of 1/4 , Brandy - 3/4 oz , Light rum - 3/4 oz , ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
323,Alcoholic,Quarter Deck Cocktail,Cocktail glass,"Lime, Sherry, Light rum, ","Lime - Juice of 1/2 , Sherry - 1/3 oz cream , Light rum - 1 1/2 , ","Stir all ingredients with ice, strain into a cocktail glass, and serve."
324,Alcoholic,Rose,Cocktail glass,"Powdered sugar, Grenadine, Lemon juice, Apricot brandy, Gin, Dry Vermouth, ","Powdered sugar, Grenadine - 1 tsp , Lemon juice - 1/2 tsp , Apricot brandy - 1/2 oz , Gin - 1 oz , Dry Vermouth - 1/2 oz , ","Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve."
325,Alcoholic,Radler,Highball glass,"7-Up, Beer, ","7-Up - 12 oz , Beer - 12 oz , ","Pour beer into large mug, slowly add the 7-up (or Sprite)."
326,Alcoholic,Rum Sour,Whiskey sour glass,"Maraschino cherry, Orange, Sugar, Lemon juice, Light rum, ","Maraschino cherry - 1 , Orange - 1 , Sugar - 1/2 tsp superfine , Lemon juice - 1 oz , Light rum - 2 oz , ","In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
327,Alcoholic,Rum Punch,Punch bowl,"Ice, Orange juice, Fruit punch, Ginger ale, Rum, ","Ice - crushed , Orange juice - 355 ml frozen , Fruit punch - 355 ml frozen , Ginger ale - large bottle , Rum - mikey bottle , ",Mix all ingredients in a punch bowl and serve.
328,Alcoholic,Rum Toddy,Old-fashioned glass,"Water, Lemon peel, Powdered sugar, Rum, ","Water - 2 tsp , Lemon peel - 1 twist of , Powdered sugar - 2 tsp , Rum - 2 oz light or dark , ",Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
329,Alcoholic,Royal Fizz,Collins glass,"Coca-Cola, Egg, Sweet and sour, Gin, ","Coca-Cola, Egg - 1 whole , Sweet and sour - 2 oz , Gin - 1 oz , ",Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.
330,Alcoholic,Rum Cooler,Collins glass,"Lemon, Lemon-lime soda, Rum, ","Lemon - 1 , Lemon-lime soda - 4 oz , Rum - 2 oz light or dark , ",Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.
331,Alcoholic,Rum Runner,Cocktail glass,"Cranberry juice, Pineapple juice, Orange juice, Blackberry brandy, Malibu rum, ","Cranberry juice - 3-4 oz , Pineapple juice - 3-4 oz , Orange juice - 3-4 oz , Blackberry brandy - 1 oz , Malibu rum - 1 1/2 oz , ",Mix all ingredients in glass & add ice.
332,Alcoholic,Rusty Nail,Old-fashioned glass,"Lemon peel, Drambuie, Scotch, ","Lemon peel - 1 twist of , Drambuie - 1/2 oz , Scotch - 1 1/2 oz , ",Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
333,Alcoholic,Red Snapper,Old-fashioned glass,"Cranberry juice, Amaretto, Crown Royal, ","Cranberry juice - 1 shot , Amaretto - 1 shot , Crown Royal - 1 shot , ","One shot each, shake n shoot"
334,Alcoholic,Royal Bitch,Shot glass,"Crown Royal, Frangelico, ","Crown Royal - 1 part , Frangelico - 1 part , ",Into a shot glass layer the Crown Royal on top of the Frangelico.
335,Alcoholic,Royal Flush,Old-fashioned glass,"Cranberry juice, Chambord raspberry liqueur, Peach schnapps, Crown Royal, ","Cranberry juice - 1 oz , Chambord raspberry liqueur - 1/2 oz , Peach schnapps - 1 oz , Crown Royal - 1 1/2 oz , ",Pour all the ingredients into tumbler over ice. Strain into glass.
336,Alcoholic,Rum Cobbler,Old-fashioned glass,"Orange, Maraschino cherry, Dark rum, Lemon, Club soda, Sugar, ","Orange - 1 , Maraschino cherry - 1 , Dark rum - 2 oz , Lemon - 1 , Club soda - 3 oz , Sugar - 1 tsp superfine , ","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices."
337,Alcoholic,Ruby Tuesday,Highball glass,"Grenadine, Cranberry juice, Gin, ","Grenadine - 2 splashes , Cranberry juice - 5 oz , Gin - 2 oz , ",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
338,Non alcoholic,Rail Splitter,Highball glass,"Ginger ale, Lemon juice, Sugar syrup, ","Ginger ale, Lemon juice, Sugar syrup - 2 tsp , ",Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
339,Alcoholic,Rosemary Blue,Balloon Glass,"Rosemary, Tonic Water, Blue Curacao, Gin, ","Rosemary - Garnish with, Tonic Water - 100 ml, Blue Curacao - 15 ml, Gin - 50 ml, ","1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.

2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.

3) Gently fold with a bar spoon to mix."
340,Alcoholic,Ramos Gin Fizz,Highball glass,"Soda Water, Vanilla extract, Egg White, Cream, Sugar Syrup, Lemon Juice, Gin, ","Soda Water - 2 cl, Vanilla extract - 2 drop, Egg White - 1, Cream - 6 cl, Sugar Syrup - 3 cl, Lemon Juice - 3 cl, Gin - 4.5 cL, ","Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.



Pour all the ingredients into a shaker.



Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.



Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!



Pour into a highball glass, add a splash of soda and garnish to taste.



Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost."
341,Alcoholic,Royal Gin Fizz,Highball glass,"Carbonated water, Egg, Powdered sugar, Lemon, Gin, ","Carbonated water, Egg - 1 whole , Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Gin - 2 oz , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
342,Alcoholic,Rum Milk Punch,Collins glass,"Nutmeg, Powdered sugar, Milk, Light rum, ","Nutmeg, Powdered sugar - 1 tsp , Milk - 1 cup , Light rum - 2 oz , ",Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.
343,Alcoholic,Raspberry Julep,Cordial glass,"Mint, Raspberry syrup, Bourbon, ","Mint - 8, Raspberry syrup - 1/2 oz, Bourbon - 2 oz, ","Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig."
344,Alcoholic,Rum Screwdriver,Highball glass,"Orange juice, Light rum, ","Orange juice - 5 oz , Light rum - 1 1/2 oz , ","Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve."
345,Alcoholic,Raspberry Cooler,Highball glass,"Ice, Lemon-lime soda, Raspberry vodka, ","Ice, Lemon-lime soda - 4 oz , Raspberry vodka - 2 oz , ",Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.
346,Alcoholic,Rum Old-fashioned,Old-fashioned glass,"Lime peel, Water, Bitters, Powdered sugar, 151 proof rum, Light rum, ","Lime peel - Twist of , Water - 1 tsp , Bitters - 1 dash , Powdered sugar - 1/2 tsp , 151 proof rum - 1 tsp , Light rum - 1 1/2 oz , ","Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve."
347,Alcoholic,Russian Spring Punch,Highball glass,"Lemon Juice, Sugar Syrup, Creme de Cassis, Vodka, ","Lemon Juice - 2.5 cl, Sugar Syrup - 1 cl, Creme de Cassis - 1.5 cl, Vodka - 2.5 cl, ","Pour the ingredients into an highball glass, top with Sparkling wine."
348,Alcoholic,Radioactive Long Island Iced Tea,Collins Glass,"Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Triple sec, Gin, Tequila, Vodka, Rum, ","Malibu rum - 1 oz , Midori melon liqueur - 1 oz , Chambord raspberry liqueur - 1 oz , Triple sec - 1 oz , Gin - 1 oz , Tequila - 1 oz , Vodka - 1 oz , Rum - 1 oz , ",Pour all ingredients over ice in a very tall glass. Sip cautiously.
349,Alcoholic,Smut,Beer mug,"Orange juice, Pepsi Cola, Peach schnapps, Red wine, ","Orange juice - 1/3 part , Pepsi Cola - 1/3 part , Peach schnapps - 1 shot , Red wine - 1/3 part , ",Throw it all together and serve real cold.
350,Alcoholic,Spritz,Old-Fashioned glass,"Soda Water, Campari, Prosecco, ","Soda Water - splash, Campari - 4 cl, Prosecco - 6 cl, ","Build into glass over ice, garnish and serve."
351,Alcoholic,Scooter,Cocktail glass,"Light cream, Amaretto, Brandy, ","Light cream - 1 oz , Amaretto - 1 oz , Brandy - 1 oz , ","Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
352,Alcoholic,Sangria,Pitcher,"Cinnamon, Cloves, Lemon juice, Orange juice, Sugar, Red wine, ","Cinnamon, Cloves, Lemon juice - 1 cup , Orange juice - 1 cup , Sugar - 1/2 cup , Red wine - 1 bottle , ",Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
353,Alcoholic,Stinger,Cocktail glass,"White Creme de Menthe, Brandy, ","White Creme de Menthe - 1/2 oz , Brandy - 1 1/2 oz , ","Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
354,Alcoholic,Sazerac,Old-fashioned glass,"Lemon peel, Bourbon, Water, Peychaud bitters, Sugar, Ricard, ","Lemon peel - 1 twist of , Bourbon - 2 oz , Water - 1 tsp , Peychaud bitters - 2 dashes , Sugar - 1/2 tsp superfine , Ricard - 1 tsp , ","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
355,Alcoholic,Sidecar,Cocktail glass,"Lemon juice, Cointreau, Cognac, ","Lemon juice - 1 oz , Cointreau - 1/2 oz , Cognac - 2 oz , ",Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
356,Alcoholic,Snowday,Collins glass,"Orange Peel, Angostura Bitters, Blood Orange, Ruby Port, Amaro Montenegro, Vodka, ","Orange Peel - Garnish with, Angostura Bitters - Dash, Blood Orange - 1 tsp, Ruby Port - 1 oz, Amaro Montenegro - 1 oz, Vodka - 1 oz, ",Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.
357,Alcoholic,Spice 75,Wine Glass,"Orange spiral, Champagne, Lime Juice, Rum, Allspice, Sugar, ","Orange spiral - Garnish with, Champagne - 6 cl, Lime Juice - 90 ml, Rum - 20 cl, Allspice - 1 tblsp, Sugar - 60 ml, ","Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).



Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist."
358,Alcoholic,Snowball,Highball glass,"Ice, Lemon, Lemonade, Advocaat, ","Ice - cubes, Lemon - 1 slice , Lemonade - 8-10 oz cold , Advocaat - 1 1/2 oz , ",Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
359,Alcoholic,Shot-gun,Shot glass,"Wild Turkey, Jack Daniels, Jim Beam, ","Wild Turkey - 1 oz , Jack Daniels - 1 part , Jim Beam - 1 part , ",Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
360,Alcoholic,Salty Dog,Highball glass,"Salt, Gin, Grapefruit juice, ","Salt - 1/4 tsp , Gin - 1 1/2 oz , Grapefruit juice - 5 oz , ","Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
361,Alcoholic,Stone Sour,Whiskey sour glass,"Sweet and sour, Orange juice, Apricot brandy, ","Sweet and sour - 1 oz , Orange juice - 1 oz , Apricot brandy - 1 oz , ","Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
362,Alcoholic,Sea breeze,Highball glass,"Grapefruit juice, Cranberry juice, Vodka, ","Grapefruit juice - 1 oz , Cranberry juice - 4 oz , Vodka - 1 1/2 oz , ",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
363,Alcoholic,Scotch Sour,Whiskey sour glass,"Cherry, Lemon, Powdered sugar, Lime, Scotch, ","Cherry - 1 , Lemon - 1/2 slice , Powdered sugar - 1/2 tsp , Lime - Juice of 1/2 , Scotch - 1 1/2 oz , ","Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
364,Alcoholic,Sweet Tooth,Highball Glass,"Milk, Godiva liqueur, ","Milk, Godiva liqueur - 2 shots , ","Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
365,Alcoholic,Screwdriver,Highball glass,"Orange juice, Vodka, ","Orange juice, Vodka - 2 oz , ",Mix in a highball glass with ice. Garnish and serve.
366,Alcoholic,Sherry Flip,Nick and Nora Glass,"Nutmeg, Egg, Powdered sugar, Light cream, Sherry, ","Nutmeg, Egg - 1 whole , Powdered sugar - 1 tsp , Light cream - 2 tsp , Sherry - 1 1/2 oz cream , ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
367,Alcoholic,Sol Y Sombra,Brandy snifter,"Anisette, Brandy, ","Anisette - 1 1/2 oz , Brandy - 1 1/2 oz , ","Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
368,Alcoholic,Shark Attack,Pitcher,"Vodka, Water, Lemonade, ","Vodka - 1 1/2 cup , Water - 3 cans , Lemonade - 1 can , ",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
369,Alcoholic,San Francisco,Highball glass,"Orange juice, Grenadine, Creme de Banane, Vodka, ","Orange juice, Grenadine, Creme de Banane - 2 cl , Vodka - 2 cl , ","Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
370,Alcoholic,Space Odyssey,Highball glass,"Cherries, Grenadine, Orange juice, Pineapple juice, Malibu rum, 151 proof rum, ","Cherries, Grenadine, Orange juice, Pineapple juice - 1 shot , Malibu rum - 1 shot , 151 proof rum - 1 shot Bacardi , ",Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
371,Alcoholic,Sherry Eggnog,Collins glass,"Nutmeg, Milk, Egg, Powdered sugar, Sherry, ","Nutmeg, Milk, Egg - 1 whole , Powdered sugar - 1 tsp , Sherry - 2 oz cream , ","Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
372,Non alcoholic,Sweet Bananas,Highball Glass,"Honey, Banana, Milk, ","Honey - 1 tblsp , Banana - 1 , Milk - 2 cups , ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
373,Alcoholic,Sweet Sangria,Pitcher,"Fresca, Lemon, Lime, Orange, Apple, Water, Sugar, Red wine, ","Fresca, Lemon, Lime -  wedges
, Orange -  wedges
, Apple - 1 cup, Water - 2 cups hot , Sugar - 1 cup , Red wine - 2 bottles , ","Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
374,Alcoholic,Thriller,Cocktail glass,"Orange juice, Wine, Scotch, ","Orange juice - 1 oz , Wine - 1 oz Green Ginger , Scotch - 1 1/2 oz , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
375,Alcoholic,The Galah,Collins glass,"Lime Juice, Pineapple Juice, Creme De Banane, Campari, Dark Rum, ","Lime Juice - Top, Pineapple Juice - Top, Creme De Banane - 1/2 shot, Campari - 1 shot, Dark Rum - 1 shot, ",Mix together the alcoholic portions and top with Pineapple and Lime juice.
376,Alcoholic,Tia-Maria,Collins Glass,"Vanilla extract, Rum, Coffee, Brown sugar, Water, ","Vanilla extract - 4 tsp , Rum - 1 cup , Coffee - 4 tsp , Brown sugar - 3/4-1 cup , Water - 1 cup , ","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
377,Alcoholic,Tipperary,Nick and Nora Glass,"Green Chartreuse, Sweet Vermouth, Irish Whiskey, ","Green Chartreuse - 1/2 oz, Sweet Vermouth - 1 oz, Irish Whiskey - 2 oz, ","Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist."
378,Alcoholic,Turkeyball,Shot glass,"Pineapple juice, Amaretto, Wild Turkey, ","Pineapple juice - 1 splash , Amaretto - 3/4 oz , Wild Turkey - 1 oz , ",Shake with ice and strain into a shot glass.
379,Alcoholic,Texas Sling,Wine Glass,"Cream, 151 proof rum, Amaretto, Irish cream, Kahlua, ","Cream - 1 oz , 151 proof rum - 1/2 oz Bacardi , Amaretto - 1/2 oz , Irish cream - 1/2 oz , Kahlua - 1/2 oz , ","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
380,Non alcoholic,Thai Coffee,Highball glass,"Ice, Whipping cream, Sugar, Cardamom, Coriander, Coffee, ","Ice, Whipping cream, Sugar, Cardamom - 4-5 whole green , Coriander - 1/4 tsp , Coffee - 6 tblsp ground, ","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
381,Alcoholic,Tom Collins,Collins glass,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Gin, ","Orange - 1 , Maraschino cherry - 1 , Club soda - 3 oz , Sugar - 1 tsp superfine , Lemon juice - 1 oz , Gin - 2 oz , ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
382,Non alcoholic,Tomato Tang,Highball glass,"Celery salt, Lemon juice, Tomato juice, ","Celery salt - 1 dash , Lemon juice - 1-2 tblsp , Tomato juice - 2 cups , ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
383,Alcoholic,Talos Coffee,Brandy snifter,"Coffee, Grand Marnier, ","Coffee - 1 part , Grand Marnier - 3 parts , ",Add your GM and then add your coffee.
384,Alcoholic,Tennesee Mud,Coffee Mug,"Whipped cream, Amaretto, Jack Daniels, Coffee, ","Whipped cream, Amaretto - 4 oz , Jack Daniels - 4 oz , Coffee - 8 oz , ","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
385,Alcoholic,Tequila Fizz,Collins glass,"Ginger ale, Egg white, Grenadine, Lemon juice, Tequila, ","Ginger ale, Egg white - 1 , Grenadine - 3/4 oz , Lemon juice - 1 tblsp , Tequila - 2 oz , ","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
386,Alcoholic,Tequila Sour,Whiskey sour glass,"Cherry, Lemon, Powdered sugar, Lemon, Tequila, ","Cherry - 1 , Lemon - 1/2 slice , Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Tequila - 2 oz , ","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
387,Non alcoholic,Thai Iced Tea,Highball glass,"Mint, Ice, Condensed milk, Water, Tea, ","Mint - garnish, Ice - cubes, Condensed milk - 2 tsp sweetened , Water - 1/2 cup boiling , Tea - 1/4 cup Thai , ","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
388,Alcoholic,The Last Word,Cocktail glass,"Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse, ","Gin - 1 oz, Lime Juice - 1 oz, Maraschino Liqueur - 1 oz, Green Chartreuse - 1 oz, ",Shake with ice and strain into a cocktail glass.
389,Alcoholic,Turf Cocktail,Cocktail glass,"Orange peel, Bitters, Anis, Gin, Dry Vermouth, ","Orange peel - Twist of , Bitters - 2 dashes , Anis - 1/4 tsp , Gin - 1 oz , Dry Vermouth - 1 oz , ",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
390,Alcoholic,The Laverstoke,Balloon Glass,"Mint, Ginger, Lime, Tonic Water, Rosso Vermouth, Elderflower cordial, Gin, ","Mint - 1 Large Sprig, Ginger - 1 Slice, Lime - 2 Wedges, Tonic Water - 75 ml, Rosso Vermouth - 15 ml, Elderflower cordial - 15 ml, Gin - 50 ml, ","1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.



2) Fully fill the glass with cubed ice and stir to chill.



3) Top with Fever-Tree Ginger Ale and gently stir again to combine.



4) Garnish with a snapped ginger slice and an awoken mint sprig."
391,Alcoholic,Tequila Slammer,Hurricane glass,"7-up, Tequila, ","7-up - 1 part, Tequila - 1 shot, ",Mix carefully to avoid releasing the dissolved CO2.
392,Alcoholic,Tequila Sunrise,Highball glass,"Grenadine, Orange juice, Tequila, ","Grenadine, Orange juice, Tequila - 2 measures , ","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
