hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,Pulaski,AR,72204,9601 BAPTIST HEALTH DRIVE,Other not-for-profit,Baptist Health,740,"Yes, bottom of page",Yes,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Baptist-Health-Charity-Guidelines-222-2.15.pdf,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/09/Baptist-Health-Collection-Policy-.pdf,Below 300% FPL,300-400% FPL,"Yes, assets less than $8,000 individually or $12,000 combined household","No, not mentioned in the FAP, but not a practice of the hospital, according to Julie Carpenter, corporate vice president, Revenue Cycle Services.",No,No,Yes,No,No,Yes,"No, according to FAP",
BAPTIST HEALTH MEDICAL CENTER- CONWAY,CONWAY,Faulkner,AR,72034,1555 EXCHANGE AVENUE,Other not-for-profit,Baptist Health,77,"Yes, bottom of page",Yes,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Baptist-Health-Charity-Guidelines-222-2.15.pdf,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/09/Baptist-Health-Collection-Policy-.pdf,Below 300% FPL,300-400% FPL,"Yes, assets less than $8,000 individually or $12,000 combined household","Not mentioned in the FAP, but not a practice of the hospital, according to Julie Carpenter, corporate vice president, Revenue Cycle Services.",No,No,Yes,No,No,Yes,"No, according to FAP",
BAPTIST MEMORIAL HOSPITAL-CRITTENDEN,WEST MEMPHIS,Crittenden,AR,72301,2100 NORTH SEVENTH STREET,Other not-for-profit,Baptist Memorial Health Care Corporation,11,"Yes, bottom of page","Yes, but not the first link",https://drive.google.com/file/d/1feQooC31yJDLAMGmWamKdGLFq1cqPfy5/view?usp=sharing,https://drive.google.com/file/d/1ZKIefNqhpnGD_AyT0duo74zi_5O423r3/view?usp=sharing,Below 200% FPL,200-400% FPL,No,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Kimberly Alexander",Yes (United States),Yes,Yes,"No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Kimberly Alexander",Yes,Yes,"No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Kimberly Alexander",
MCGEHEE HOSPITAL,MCGEHEE,Desha,AR,71654,900 SOUTH THIRD STREET,Other not-for-profit,,25,No,No search tool,,No,,,,,,,,,,,,
CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,Chicot,AR,71653,2729 SOUTH HIGHWAY 65 & 82,Other not-for-profit,,25,"Yes, bottom of page",No search tool,http://www.chicotmemorial.com/Portals/2255/web-content/files/Financial%20Assistance%20Policy-rev1219.pdf,Included in FAP,Below 100% FPL,100-200% FPL (sliding scale),No,None specified,No,,Yes,,,Yes,,
UAMS MEDICAL CENTER,LITTLE ROCK,Pulaski,AR,72204,4301 WEST MARKHAM STREET MAIL SLOT 612,,,,,,,,,,,,,,,,,,,
ABRAZO ARROWHEAD HOSPITAL,GLENDALE,Maricopa,AZ,85301,18701 NORTH 67TH AVENUE,"Corporation, investor owned, for profit",TENET Healthcare Corporation,217,No,No,,No,Unclear - no avaliable policy,Below 200% FPL,Unclear - no avaliable policy,"Yes, bills exceed 10% of annual income",Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,PHOENIX,Maricopa,AZ,85032,250 EAST DUNLAP AVENUE,Other not-for-profit,HonorHealth,262,No,Yes,https://www.honorhealth.com/sites/default/files/documents/patient-and-visitors/2022-honorhealth-financial-assistance-policy-english.pdf,Included in FAP,Below 200% FPL,200-500% FPL,Yes,"Yes, ""catastrophic discount"" -- limits out-of-pocket costs when bills exceed 15% of annual income",No,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Lauren Strait",Yes,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Lauren Strait","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Lauren Strait","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Lauren Strait","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Lauren Strait",
WICKENBURG COMMUNITY HOSPITAL,WICKENBURG,Maricopa,AZ,85390,520 ROSE LANE,Other not-for-profit,,19,"Yes, bottom of page",No search tool,https://www.wickhosp.com/wp-content/uploads/2016/01/Financial-Assistance-Policy.pdf,No,Below 200% FPL,,"Yes, according to the financial assistance application","Yes, medically indigent, according to website FAQs",No,"Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Terrie Davidson","Not mentioned in the Financial Assistance Policy but is a practice of the hospital, according to Terrie Davidson","Not mentioned in the Financial Assistance Policy but is not a practice of the hospital, according to Terrie Davidson","Not mentioned in the Financial Assistance Policy but is not a practice of the hospital, according to Terrie Davidson","Not mentioned in the Financial Assistance Policy but is not a practice of the hospital at this time, according to Terrie Davidson","Not mentioned in the Financial Assistance Policy and is not a practice of the hospital but will be in the future, according to Terrie Davidson",
SAGE MEMORIAL HOSPITAL,GANADO,Apache,AZ,86505,HIGHWAY 264 WEST AND 191 SOUTH,Other not-for-profit,U.S. Indian Health Service ,24,,,,,,,,,,,,,,,,
LITTLE COLORADO MEDICAL CENTER,WINSLOW,Navajo,AZ,86047,1501 NORTH WILLIAMSON AVENUE,Other not-for-profit,,25,No,No search tool,https://www.lcmcwmh.com/file/ad1f6a88-8582-4d6c-b0bc-7b1d2b6dc263,No,Below 125% FPL,125-300% FPL (sliding scale),Yes,"Yes, medically indignent or catastrophic illness (case by case basis)",No,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,
BANNER PAYSON MEDICAL CENTER,PAYSON,Gila,AZ,85541,807 SOUTH PONDEROSA DRIVE,Other not-for-profit,Banner Health,25,"Yes, bottom of page",Yes,https://www.bannerhealth.com/-/media/files/project/bh/patients-visitors/billing/acute_financial-assistance-policy-for-hospital-patients_english.ashx,"No -- only available to Banner Health patients, according to David Lozano

https://drive.google.com/file/d/1aW089J-eBkB0nUB2Mifs_qcE0dD8jj2k/view?usp=sharing",Below 200% FPL,200-400% FPL,"Yes, according to Appendix A of the Financial Assistance Policy","Yes, medically indignent (bills exceed 50% of annual income) and above 400% FPL, then patient owes 25% of bill ",No,Yes,Yes,"No, not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to David Lozano","No, not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to David Lozano","No, not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to David Lozano",Yes,
ST JOSEPH HOSPITAL EUREKA,EUREKA,Humboldt,CA,95501,2700 DOLBEER ST,"Church operated, non-government, not-for-profit",Providence,153,No,"No (Not a direct link. You have to click through a few location pages first -- northern california, etc.)",https://drive.google.com/file/d/1JLvSaWjSbivY3oeeoYRasDax0_zzbLbx/view?usp=sharing,https://www.providence.org/-/media/project/psjh/shared/files/bill-pay/bad-debt-assignment-policy.pdf?la=en&rev=3420a39312854fa4a8b7f2bf86b38e56&hash=C668E917060339F394087174AEB1AC12,Below 300% FPL,300-400% FPL,Yes,"Yes, ""catastrophic assistance"" provided on a case by case basis",No,"No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Christian Hill",Yes,No,"No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Christian Hill","No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Christian Hill","No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Christian Hill",
RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,Riverside,CA,92503,4445 MAGNOLIA AVENUE,"Corporation, investor owned, for-profit",HCA Healthcare,373,No,No,,No,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford",
WEST HILLS HOSPITAL & MEDICAL CENTER,WEST HILLS,Los Angeles,CA,91307,7300 MEDICAL CENTER DR,"Corporation, investor owned, for-profit",HCA Healthcare,225,No,No,,No,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford",
CHINO VALLEY MEDICAL CENTER,CHINO,San Bernardino,CA,91710,5451 WALNUT AVE,"Corporation, investor owned, for-profit",Prime Healthcare,112,"Yes, bottom of page",Yes,https://www.cvmc.com/documents/Chino-Valley-Medical-Center-Financial-Assistance-Policy.pdf,Some info in FAP,Below 350% FPL,350-450% FPL,"Yes, assets less than $10,000","Yes, below 350% FPL and bills exceed 10% annual income (insured patients)",No,Yes,Yes,,Yes,Yes,,
TEMECULA VALLEY HOSPITAL,TEMECULA,Riverside,CA,92592,31700 TEMECULA PKWY,"Corporation, investor owned, for-profit","Universal Health Services, Inc.",140,No,No,No,No,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
CONTRA COSTA REGIONAL MEDICAL CENTER,MARTINEZ,Contra Costa,CA,94553,2500 ALHAMBRA AVENUE,"County, government, non-federal",,146,No,Yes,https://cchealth.org/insurance/charitycare/pdf/charity_care_policy.pdf,Included in FAP,"Below 150% FPL
(Uninsured)","150-350% FPL, according to the Discount Payment Plan Policy
(Uninsured)","Yes, assets less than $2,000 per individual or $3,000 per family","Yes, underinsured patients whose income is at or below 350% FPL and whose bills exceed 10% of their annual income, according to the Discount Payment Plan Policy",No,"Not mentioned in the Financial Assistance Policy but is a practice of the hospital, according to Will Harper",Yes,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Will Harper","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Will Harper","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Will Harper","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Will Harper",
ANTELOPE VALLEY HOSPITAL,LANCASTER,Los Angeles,CA,93535,1600 W AVE J,"Hospital district or authority-government, non-federal",,368,No,"Yes, but it's called ""billing and insurance""",https://www.avmc.org/images/PFS-RI.1-PATIENT-FINANCIAL-ASSISTANCE-POLICY.pdf,"Not available online - must be requested

https://drive.google.com/file/d/1elEmSvH8pggF8kSrnpml8NJA-PYu5h-I/view?usp=sharing",Below 200% FPL,200-400% FPL (sliding scale),No,"Yes, catastrophic medical event",No,"Yes, according to the billing and collection policy","Yes, according to the billing and collection policy","No, not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Cynthia Frausto","Yes, according to the billing and collection policy","Yes, according to the billing and collection policy","No, not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Cynthia Frausto",
ADVENTIST HEALTH REEDLEY,REEDLEY,Fresno,CA,93654,372 W CYPRESS AVE,"Hospital district or authority-government, non-federal",Adventist Health,49,"Yes, bottom of page",Yes,https://www.adventisthealth.org/documents/financial-assistance/ENG_PFS-112_Financial-Assistance-Policy.pdf,Included in FAP,Below 200% FPL,200-400% FPL,Yes,"Yes, essential living expenses are 50% of household income and medical bills are greater than any qualifying assets",No,Yes,Yes,Yes,"Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Japhet De Oliveira","Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Japhet De Oliveira","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Japhet De Oliveira",
ALAMEDA HOSPITAL,ALAMEDA,Alameda,CA,94501,2070 CLINTON AVENUE,"Hospital district or authority-government, non-federal",Alameda Health System,249,No,No,http://www.alamedahealthsystem.org/wp-content/uploads/2021/04/HOSPITAL-FINANCIAL-ASSISTANCE-AND-CHARITY-CARE.pdf,"No

Policy won't be available until August 2022",Below 350% FPL (uninsured),"N/A

No, not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Eleanor Ajala","Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility. Assets must not exceed $50,000","Yes, High Medical Cost charity care. Insured patients below 350% FPL with bills more than 10% annual income",No,"No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala",Yes,"No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala","No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala","No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala","No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala",
EL CAMINO HOSPITAL - MOUNTAIN VIEW CAMPUS,MOUNTAIN VIEW,Santa Clara,CA,94040,2500 GRANT ROAD,"Hospital district or authority-government, non-federal",,420,No,Yes,https://www.elcaminohealth.org/sites/default/files/2022-04/financial-assistance-discounted-charity-care-eligibility-procedures-review-process422.pdf,https://www.elcaminohealth.org/sites/default/files/2022-04/collection-practices-and-collection-agency-management422.pdf,Below 400% FPL,"N/A 

We do not offer partial discounts for charity care, according to Nikki Arnone.",No,"Not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Nikki Arnone",No,No,Yes,"No

*Old policy did not mention selling debt, but the new policy specifically forbids it*","No

*Old policy did not mention sueing patients, but the new policy specifically forbids it*",No,"No

*Old policy did not mention restricting care, but the new policy specifically forbids it*",
SALINAS VALLEY MEMORIAL HEALTHCARE SYSTEM,SALINAS,Monterey,CA,93905,450 EAST ROMIE LANE,"Hospital district or authority-government, non-federal",,214,"Yes, under ""billing and insurance"" tab",Yes,https://www.svmh.com/documents/content/FINANCIAL-ASSISTANCE-PROGRAM_FULL-CHARITY-CARE-DISCOUNT-PARTIAL-CHARITY-CARE-POLICIES.11414_0)_10.22.20.pdf,Included in FAP,Below 200% FPL,200-350% FPL,Yes,"Yes, catastrophic medical event determined on a case by case basis. In general, bills exceeding $75,000 are eligible for assistance",No,Yes,Yes,Yes,Yes,Yes,Yes,
PALOMAR MEDICAL CENTER POWAY,POWAY,San Diego,CA,92064,15615 POMERADO ROAD,"Hospital district or authority-government, non-federal",Palomar Health,182,No,"Yes (Its under the first link, labeled ""bill and insurance"")",https://www.palomarhealth.org/media/file/Patient%20and%20Visitor/34372%20-%20Financial%20Assistance%20Operational%20Procedure.pdf,No,Below 250% FPL,250-350% FPL,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility.","Yes, bills exceed 10% of annual income and they earn between 350-500% FPL",No,"Yes, according to FAP. We have previously instructed all of our agencies to no longer report to credit agencies, according to Chelsea Elkus",Yes,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Chelsea Elkus","Yes, according to the FAP. We have previously instructed all of our agencies to not sue, according to Chelsea Elkus.",No,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Chelsea Elkus",
MENIFEE GLOBAL (VALLEY?) MEDICAL CENTER,SUN CITY,Riverside,CA,92585,28400 MCCALL BOULEVARD,"Hospital district or authority-government, non-federal","AHA website current (9/27/22): Physicians for Healthy Hospitals

AHA website (previously): KPC Healthcare, Inc.",84,No,No search tool,,No,,,,,,,,,,,,
GREATER EL MONTE COMMUNITY HOSPITAL,SOUTH EL MONTE,Los Angeles,CA,91733,1701 SANTA ANITA AVE,"Hospital district or authority-government, non-federal","AHMC & Healthcare, Inc.",117,No,No,,No,Unclear - no avaliable policy,,,,,,,,,,,
EASTERN PLUMAS HEALTH CARE,PORTOLA,Plumas,CA,96122,500 FIRST AVENUE,"Hospital district or authority-government, non-federal",,75,No,No search tool,Not available,No,"No available policy but below 400% FPL, according to Douglas McCoy",Unclear - no avaliable policy,"No, no available policy but not a practice of the hospital, according to Douglas McCoy","The process used is consistent for all billing amounts however case by case situations are reviewed if necessary, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy","Yes, no available policy but is a practice of the hospital, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy",
SHARP MEMORIAL HOSPITAL,SAN DIEGO,San Diego,CA,92154,7901 FROST ST,Other not-for-profit,Sharp HealthCare,459,No,Yes,https://www.sharp.com/patient/billing/upload/Financial-Assistance-for-Uninsured-or-Low-Income-Patients-15602-99.pdf,https://www.sharp.com/patient/billing/upload/Billing-Collections-and-Bad-Debt-Review-Sharp-HealthCare-Policy-15801.pdf,"Below 200% FPL
(uninsured)",200-400% FPL (uninsured),"Yes, according to the financial assistance application, but generally not used according to Jennifer Chatfield","Yes, patient is insured, below 400% FPL and bills exceed 10% annual family income",No,Yes,Yes,No,"No, not mentioned in the Billing and Collection Policy but not a practice of the hospital, according to Jennifer Chatfield","No, not mentioned in the Billing and Collection Policy but not a practice of the hospital, according to Jennifer Chatfield",Yes,
DAMERON HOSPITAL,STOCKTON,San Joaquin,CA,95206,525 WEST ACACIA STREET,Other not-for-profit,Adventist Health,170,"Yes, under ""patients & visitors"" tab",Yes,https://res.cloudinary.com/dpmykpsih/image/upload/dameron-hospital-site-323/media/4f087941ec93466e8be40fa0fa1e5ee4/2021-charity_care_discount_payment_policy_-_procedure_20-01-0034_4web.pdf,Included in FAP,Below 150% FPL,150-350% FPL,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility","Yes, patients with high medical cost. Patient's income is below 300% and bills exceed 10% annual income",No,Yes,Yes,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Japhet De Oliveira",Yes,Yes,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Japhet De Oliveira",
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,Monterey,CA,93940,23625 HOLMAN HIGHWAY,Other not-for-profit,Montage Health,248,"Yes, under ""patients & family resources"" tab",Yes,https://www.montagehealth.org/app/files/public/a484195b-6afc-4e0f-9876-4cd3e56dde62/patient-family/financial-assistance-policy-english.pdf,https://www.montagehealth.org/app/files/public/b96879b4-2d3a-4750-b813-11136efc073f/General%20Administrative%20Collection%20Policy%20.pdf,Below 300% FPL,300-500% FPL,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility. Assets must not exceed $50,000","Yes, patients with high medical cost. Patients are below 400% FPL and bills exceed 10% of annual income",No,"Yes, the hospital does not according to the billing and collection policy, but the collection agencies do, according to Monica Sciuto",Yes,"No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Monica Sciuto","Yes, according to the billing and collection policy. Though very rarely and under strict criteria, according to Moncia Sciuto","Yes, according to the billing and collection policy. It is a very rare occurrence, according to Allison Stegge",Yes,
